"nome_da_serie","temporada","media_nota_temporada","total_votos_temporada","ano_temporada"
"#15SecondScare","1",8,8,"2015"
"#ATown","2",8.9,8,"2015"
"#Adulting","1",6.6,5,"2016"
"#BLUETICK (verified)","1",8.85,67,"2024"
"#Bhagar","1",7.3,7,"2022"
"#BlackAF","1",7.3875,1180,"2020"
"#Busing","1",9.43333333333333,78,"2019"
"#CasaDoCais","1",7.76666666666667,20,"2018"
"#ChavezzSlovakia Try Not To Laugh","1",6.88888888888889,56,"2017"
"#Cybersleuths: The Idaho Murders","1",5.15,15,"2024"
"#FreeRayshawn","1",7.58,382,"2020"
"#HoodDocumentary","1",7,7,"2016"
"#LikeMe","1",7.83076923076923,248,"2019"
"#LikeMe","2",8.18461538461539,121,"2020"
"#LikeMe","3",8.09230769230769,87,"2022"
"#LikeMe","4",8.43076923076923,83,"2023"
"#LikeMe","\N",8.4,14,"2020"
"#Luimelia","1",9.18333333333333,101,"2020"
"#Luimelia","2",8.65,58,"2020"
"#Luimelia","3",8.86666666666667,48,"2021"
"#Luimelia","4",8.6875,70,"2021"
"#ParangNormal Activity","1",7.2,11,"2015"
"#Railwaying","1",9.8,70,"2014"
"#SenyaFedya","1",6.13333333333333,17,"2018"
"#SpongeyLeaks","1",9.24,62,"2016"
"#TextMeWhenYouGetHome","1",7.79,149,"2022"
"#TextMeWhenYouGetHome","2",7.2,113,"2023"
"#TheAssignment","1",7.3,7,"2013"
"#adaleTT","1",8.44285714285714,47,"2023"
"#killerpost","1",6.8,88,"2016"
"#martyisdead","1",7.9375,188,"2019"
"#tagged","1",6,8,"2018"
"$#*! My Dad Says","1",7.09444444444444,1786,"2010"
"$2 Bill","1",9.1,21,"2002"
"'Allo 'Allo!","1",8.075,2722,"1982"
"'Allo 'Allo!","2",8.15714285714286,1935,"1985"
"'Allo 'Allo!","3",8.2,1541,"1986"
"'Allo 'Allo!","4",7.98333333333333,1381,"1987"
"'Allo 'Allo!","5",7.9,5142,"1988"
"'Allo 'Allo!","6",7.8125,1520,"1989"
"'Allo 'Allo!","7",7.78,1809,"1991"
"'Allo 'Allo!","8",7.7125,1378,"1991"
"'Allo 'Allo!","9",7.76666666666667,1127,"1992"
"'Da Kink in My Hair","1",5.875,22,"2007"
"'Da Kink in My Hair","2",6.175,25,"2009"
"'The Making Of...'","1",8.36,107,"2014"
"'The Making Of...'","2",8.4,28,"2016"
"'The Making Of...'","\N",7.4,9,"2018"
"'Til Death","1",7.73636363636364,1944,"2006"
"'Til Death","2",7.3,1014,"2007"
"'Til Death","3",7.05714285714286,503,"2008"
"'Til Death","4",7.23243243243243,3036,"2009"
"'Til Death Do Us Part","1",6.05714285714286,346,"2006"
"'Wag mong agawin ang akin","1",7.7,33,"2022"
"'Way Out","1",7.875,438,"1961"
"'t Schaep met de 5 pooten","1",8,8,"2006"
"'t Schaep met de 5 pooten","2",8.4,9,"2009"
"(D)evil's Throat: Djavolskoto Garlo","1",8.45833333333333,403,"2019"
"(Des)encontros","1",7.4,34,"2014"
"(Des)encontros","2",8.4125,57,"2018"
"(P)Ícaro: El pequeño Nicolás","1",6.33333333333333,53,"2024"
"(Re)Solved","1",8,5,"2023"
"(Un)Well","1",6.08333333333333,544,"2020"
"(fdp)","1",8.18461538461538,97,"2012"
"*Loosely Exactly Nicole","1",6.54,98,"2016"
"*Loosely Exactly Nicole","2",4.8,8,"2018"
"+ de cinéma","\N",6.9,44,"2002"
"...And Mother Makes Five","1",7.8,5,"1974"
"...And Mother Makes Five","3",7.2,5,"1975"
"...And Mother Makes Five","4",7.55,11,"1976"
"...And Mother Makes Three","1",7.15714285714286,51,"1971"
"...And Mother Makes Three","2",7.06666666666667,39,"1971"
"...And Mother Makes Three","3",7.41666666666667,38,"1972"
