"nome_da_serie","startYear","endYear","total_votos","averageRating"
"#15SecondScare","2015","2016",8,8
"#ATown","2014","2015",8,8.9
"#Adulting","2016","2018",5,6.6
"#BLUETICK (verified)","2024","\N",67,8.8
"#Bhagar","2022","2022",7,7.3
"#BlackAF","2020","2020",1180,6.6
"#Busing","2019","\N",78,9.4
"#CasaDoCais","2018","2020",20,7.8
"#ChavezzSlovakia Try Not To Laugh","2017","2018",56,6.6
"#Cybersleuths: The Idaho Murders","2024","2024",15,4.1
"#FreeRayshawn","2020","2020",382,7.9
"#HoodDocumentary","2016","\N",7,7
"#LikeMe","2019","2023",553,7.5
"#Luimelia","2020","2021",277,9.3
"#ParangNormal Activity","2015","\N",11,7.2
"#Railwaying","2014","\N",70,9.9
"#SenyaFedya","2018","\N",17,6.5
"#SpongeyLeaks","2016","\N",62,9.3
"#TextMeWhenYouGetHome","2022","\N",262,7.6
"#TheAssignment","2013","\N",7,7.3
"#adaleTT","2023","\N",47,8.8
"#killerpost","2016","2016",88,6.9
"#martyisdead","2019","2019",188,7.7
"#tagged","2018","\N",8,6
"$#*! My Dad Says","2010","2011",1786,5.9
"$2 Bill","2002","\N",21,9.1
"'Allo 'Allo!","1982","1992",18555,7.8
"'Da Kink in My Hair","2007","2009",47,4.6
"'The Making Of...'","2014","\N",144,9.3
"'Til Death","2006","2010",6497,7.3
"'Til Death Do Us Part","2006","2007",346,4
"'Wag mong agawin ang akin","2022","\N",33,8.2
"'Way Out","1961","1961",438,7.4
"'t Schaep met de 5 pooten","2006","2015",17,8
"(D)evil's Throat: Djavolskoto Garlo","2019","\N",403,8.8
"(Des)encontros","2014","2018",91,7.8
"(P)Ícaro: El pequeño Nicolás","2024","2024",53,6.5
"(Re)Solved","2023","\N",5,8
"(Un)Well","2020","2020",544,6.4
"(fdp)","2012","2012",97,7.7
"*Loosely Exactly Nicole","2016","2018",106,6.4
"+ de cinéma","2001","2002",44,6.9
"...And Mother Makes Five","1974","1976",21,7.2
"...And Mother Makes Three","1971","1973",169,7.6
".hack//Roots","2006","2006",298,6.9
".hack//SIGN","2002","2003",757,7.1
".hack//Tasogare no udewa densetsu","2003","2003",91,7
"0.5 no Otoko","2023","2023",32,6.3
"007: Road to a Million","2023","\N",560,6.8
"009-1","2006","2007",125,7.2
"07 zglos sie","1976","1987",269,7.2
"07-Ghost","2009","2009",338,7.3
"1 Contra Todos","2016","\N",315,8.8
"1 Kadin 1 Erkek","2008","2015",124,7.8
"1 Leicester Square","2006","2006",13,5.8
"1 Minute Horror","2015","\N",46,4.5
"1 Minute Rewatch","2015","\N",23,8.5
"1 Queen 5 Queers","2021","\N",7,8.5
"1 for All","2019","\N",30,6.2
"1 rittoru no namida","2005","2007",376,8.3
"1 voor de verkiezingen","2012","2012",5,1
"1 vs. 100","2006","2008",70,9.3
"1%ui Eoddungut","2016","2016",231,8.5
"1,000 Places to See Before You Die","2007","2007",15,7.2
"1,000,000 yen no Onnatachi","2017","2017",564,7.6
"1-800-Missing","2003","2006",1820,7.6
"1/2 Hour Comedy Hour","1989","\N",7,8.5
"10 Bin Adim","2020","\N",913,7.7
"10 Days of Different: Sundance Film Festival","2013","2016",5,7.2
"10 Days to War","2008","2008",73,6.2
"10 Items or Less","2006","2009",480,6.4
"10 Million Dollar Bigfoot Bounty","2014","\N",7,8.7
"10 Minute Tales","2009","2009",242,7.3
"10 O'Clock Live","2011","2013",148,7.4
"10 Steps to Murder","2019","\N",59,7.5
"10 Things I Hate About You","2009","2010",1442,7.3
"10 Things You Didn't Know About...","2006","\N",21,8.6
"10 Things You Don't Know About","2012","2014",577,6.6
"10 Years Ticket","2022","2023",6,9.6
"10 Years with Hayao Miyazaki","2019","2019",108,8.4
"10 vor 11","1988","2018",32,6.3
"10-8: Officers on Duty","2003","2004",494,6.6
"10.5","2004","2004",52,6.7
"10.5: Apocalypse","2006","2006",93,5.9
"100 Centre Street","2001","2002",7,7.8
"100 Day Dream Home","2019","\N",72,6.6
"100 Days Wild","2020","\N",43,6.8
"100 Days to Indy","2023","\N",151,8.6
"100 Days to Victory","2018","2018",33,6.8
"100 Deeds for Eddie McDowd","1999","2002",464,5.1
"100 Foot Wave","2021","\N",860,8.3
"100 Greatest Discoveries","2004","2015",116,7.3
"100 Humans","2020","2020",1448,6
"100 Jahre - Der Countdown","1999","\N",67,7.3
"100 Questions","2010","2010",150,6.5
"100 Things to Do Before High School","2014","2016",764,7.3
"100 Years of Horror","1996","1996",1225,6.6
"100 Years of Warner Bros.","2023","2023",456,8.1
"100 días para enamorarnos","2020","2021",194,7.3
"100 días para enamorarse","2018","2018",9,5.6
