"titulo_serie","temporada","rating_temporada"
"#15SecondScare","1",8
"#ATown","2",8.9
"#Adulting","1",6.6
"#BLUETICK (verified)","1",8.85
"#Bhagar","1",7.3
"#BlackAF","1",7.3875
"#Busing","1",9.43333333333333
"#CasaDoCais","1",7.76666666666667
"#ChavezzSlovakia Try Not To Laugh","1",6.88888888888889
"#Cybersleuths: The Idaho Murders","1",5.15
"#FreeRayshawn","1",7.58
"#HoodDocumentary","1",7
"#LikeMe","1",7.83076923076923
"#LikeMe","2",8.18461538461539
"#LikeMe","3",8.09230769230769
"#LikeMe","4",8.43076923076923
"#LikeMe","\N",8.4
"#Luimelia","1",9.18333333333333
"#Luimelia","2",8.65
"#Luimelia","3",8.86666666666667
"#Luimelia","4",8.6875
"#ParangNormal Activity","1",7.2
"#Railwaying","1",9.8
"#SenyaFedya","1",6.13333333333333
"#SpongeyLeaks","1",9.24
"#TextMeWhenYouGetHome","1",7.79
"#TextMeWhenYouGetHome","2",7.2
"#TheAssignment","1",7.3
"#adaleTT","1",8.44285714285714
"#killerpost","1",6.8
"#martyisdead","1",7.9375
"#tagged","1",6
"$#*! My Dad Says","1",7.09444444444444
"$2 Bill","1",9.1
"'Allo 'Allo!","1",8.075
"'Allo 'Allo!","2",8.15714285714286
"'Allo 'Allo!","3",8.2
"'Allo 'Allo!","4",7.98333333333333
"'Allo 'Allo!","5",7.9
"'Allo 'Allo!","6",7.8125
"'Allo 'Allo!","7",7.78
"'Allo 'Allo!","8",7.7125
"'Allo 'Allo!","9",7.76666666666667
"'Da Kink in My Hair","1",5.875
"'Da Kink in My Hair","2",6.175
"'The Making Of...'","1",8.36
"'The Making Of...'","2",8.4
"'The Making Of...'","\N",7.4
"'Til Death","1",7.73636363636364
"'Til Death","2",7.3
"'Til Death","3",7.05714285714286
"'Til Death","4",7.23243243243243
"'Til Death Do Us Part","1",6.05714285714286
"'Wag mong agawin ang akin","1",7.7
"'Way Out","1",7.875
"'t Schaep met de 5 pooten","1",8
"'t Schaep met de 5 pooten","2",8.4
"(D)evil's Throat: Djavolskoto Garlo","1",8.45833333333333
"(Des)encontros","1",7.4
"(Des)encontros","2",8.4125
"(P)Ícaro: El pequeño Nicolás","1",6.33333333333333
"(Re)Solved","1",8
"(Un)Well","1",6.08333333333333
"(fdp)","1",8.18461538461538
"*Loosely Exactly Nicole","1",6.54
"*Loosely Exactly Nicole","2",4.8
"+ de cinéma","\N",6.9
"...And Mother Makes Five","1",7.8
"...And Mother Makes Five","3",7.2
"...And Mother Makes Five","4",7.55
"...And Mother Makes Three","1",7.15714285714286
"...And Mother Makes Three","2",7.06666666666667
"...And Mother Makes Three","3",7.41666666666667
"...And Mother Makes Three","4",7.2
".hack//Roots","1",6.15384615384615
".hack//SIGN","1",7.07307692307692
".hack//Tasogare no udewa densetsu","1",6.725
"0.5 no Otoko","1",6.68
"007: Road to a Million","1",7.7625
"009-1","1",6.70769230769231
"07 zglos sie","1",7.575
"07 zglos sie","2",7.54
"07 zglos sie","3",7.76
"07 zglos sie","4",7.55
"07 zglos sie","5",7.36666666666667
"07-Ghost","1",7.452
"1 Contra Todos","1",8.1
"1 Contra Todos","2",7.45
"1 Contra Todos","3",8.5625
"1 Contra Todos","4",9.1875
"1 Kadin 1 Erkek","1",7.58571428571429
"1 Kadin 1 Erkek","5",7.6
"1 Kadin 1 Erkek","6",7.6
"1 Leicester Square","1",5.8
"1 Minute Horror","1",5.2
"1 Minute Horror","\N",6.55
"1 Minute Rewatch","1",7.75
"1 Queen 5 Queers","1",8.5
"1 for All","1",6.4
"1 for All","3",8.2
"1 for All","5",8.4
"1 rittoru no namida","1",8.68181818181818
"1 rittoru no namida","\N",8.1
"1 voor de verkiezingen","1",1
"1 vs. 100","1",8.5625
"1 vs. 100","2",9.8
